Image,Object type,Museum number,Description,Authority,Culture,Production date,Find spot,Materials,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Subjects,Assoc name,Acq name (acq),Acq name (excavator),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Reg number,Add ids
https://media.britishmuseum.org/media/Repository/Documents/2014_11/5_14/9b88eb7e_61d0_4bba_bc65_a3da00f051ee/preview_01211612_001.jpg,adze (object name),No: Optional[EA30079],"A strong copper adze-blad:e with a flat butt and straight sides. The width is greatest at the cutting edge, from which it decreases steadily to the butt. The edge is slightly convex and has been hammered and ground from only one face of the blade. Small traces of linen adhere to the corroded surface of the tool.; ",,1st Dynasty,,Found/Acquired: Abydos (?),copper; linen,hammered; ground,18.10 centimetres max ;  0.137 kilograms;  0.50 centimetres;  2.50 centimetres max ; ,,"The date of acquisition suggests that this object may have come from the Early Dynastic royal tombs at Abydos.
For other examples of Early Dynastic square-topped adzes, see E. Amélineau, ‘Les Nouvelles Fouilles d’Abydos’ II (1896-7), pl.XVIII; W. M. F. Petrie, 'Royal Tombs of the Earliest Dynasties' II, pl.XLV, 77; W. M. F. Petrie, 'Tools and weapons : illustrated by the Egyptian collection in University College, London' (London, 1917), 16 and pls.XV-XVI; W. M. F. Petrie, 'Tombs of the courtiers and Oxyrhynkos' (London, 1925), pl.V, 5; Z. Y. Saad, 'The excavations at Helwan art and civilization in the first and second Egyptian dynasties' (Norman, 1969), pl.38; W. B. Emery, 'Great tombs of the First Dynasty; excavations at Sakkara' I' (Cairo, 1949), 37-41 and pl.10B; G. A. Reisner, 'The early dynastic cemeteries of Naga-ed-Dêr' I, (California, 1908), 114 and pl.40d; J. E. Quibell & F. W. Green, 'Hierakonpolis' II (London, 1989), 26 and pl.XVLIIIb; J. E. Quibell, ‘Archaic Objects’ (Cairo, 1905), nos, 14511-2 and pl.58; J. Garstang, ‘Maḥâsna and Bêt Khallâf’ (London, 1989), pls.XVI, XXIII; A. Scharff, 'Die archaeologischen Ergebnisse des vorgeschichtlichen Gräberfeldes von Abusir el-Meleq' I (Leipzeig, 1926), pl.28, (257-8).",Spencer 1980 / Early Dynastic Objects,"On display (Room 64 - Early Egypt, Display Case 12)",,,Purchased from: R J Moss & Co,,1898,,,Egypt and Sudan,EA30079,"1898,0315.205",
https://media.britishmuseum.org/media/Repository/Documents/2014_11/5_16/e7b5df1c_6051_44ee_be29_a3da010b35be/preview_01214050_001.jpg,adze (object name),No: Optional[EA67564],"A narrow copper adze-blade: with a rounded butt, slightly concave sides, and a convex cutting edge. The edge has been sharpened by hammering and grinding from only one side of the blade.; ",,1st Dynasty,,Excavated/Findspot: Tomb of Djer,copper,hammered; ground,16.20 centimetres;  64.20 grammes;  0.30 centimetres max ;  2.30 centimetres max ; ,,"Bibliography:
W. M. F. Petrie, 'Royal Tombs of the Earliest Dynasties' II, pl.VI, 23.
For other examples of Early Dynastic round-topped adzes, see J. E. Quibell, 'Excavations at Saqqara, 1912-1914: Archaic Mastabas’ (Cairo, 1923), pl.VIII, 1; G. A. Reisner, 'The early dynastic cemeteries of Naga-ed-Dêr' I, (California, 1908), 115 and pl.40d; W. B. Emery, 'Great tombs of the First Dynasty; excavations at Sakkara' I (Cairo, 1949), 31-7 and pl.10A; W. B. Emery, 'Great tombs of the First Dynasty; excavations at Sakkara' II (Cairo, 1954), 59-61 and pl.XXXIb; Z. Y. Saad, 'The excavations at Helwan art and civilization in the first and second Egyptian dynasties' (Norman, 1969), pl.38: W. M. F. Petrie, 'Abydos' I (London, 1902), pl.L, (M.13); W. M. F. Petrie, 'Tombs of the courtiers and Oxyrhynkos' (London, 1925),  pls.IV, 5, 7, 8; V, 19, 24:W. M. F. Petrie, 'Gizeh and Rifeh' (Warminster, 1977), pl.IIIA, top left; W. M. F. Petrie, 'Tarkhan I and Memphis V' (London, 1913), pls.V, 15, 25, 28, 29; J. Garstang, ‘Maḥâsna and Bêt Khallâf’ (London, 1989), pls.XVI, XXIII, XXIV; P. Montet, 'Kêmi' 8 (1946), pl.X; C. M. Firth and J. E. Quibell, 'Excavations at Saqqara : the Step Pyramid' II (Cairo, 1935), pl.93, (3); A. Scharff, 'Die archaeologischen Ergebnisse des vorgeschichtlichen Gräberfeldes von Abusir el-Meleq' I (Leipzeig, 1926), pl.28, (259).


see W. M. F. Petrie, 'Royal Tombs of the Earliest Dynasties' II, pls.XLI, 90, 92; XLV, 65-75; W. M. F. Petrie, 'Gizeh and Rifeh' (Warminster, 1977), pl.VIE. 150; W. M. F. Petrie, 'Tarkhan I and Memphis V' (London, 1913), pl.V, 18-22; A. C. Mace in G. A. Reisner (ed.), 'The early dynastic cemeteries of Naga-ed-Dêr' II, (California, 1908), 47, fig. 107, (4) and pl.48a; J. de Morgan, ‘Recherches sur les Origines de l’Égypte (Paris, 1896-7), 251, fig. 838; 252, fig. 846; E. Amélineau, ‘Les Nouvelles Fouilles d’Abydos’ II (1896-7), pl.XVIII, 1-2; A. Scharff, ‘Die Altertümer der Vor – und Frühzeit Ägyptens’ I (Berlin, 1929-31), no. 137a and pl.7.",Spencer 1980 / Early Dynastic Objects,"On display (Room 64 - Early Egypt, Display Case 10)",,,Donated by: Egypt Exploration Fund,Excavated by: Egypt Exploration Fund,1901,,,Egypt and Sudan,EA67564,"1901,1028.33",
https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_12/fc4caacb_fa41_4b57_97c2_a3bc00cbdc0a/preview_00414085_001.jpg,amulet (object name),No: Optional[EA32123],A narrow calcite vase-shaped pendant of circular section: tapering to a pointed base. The object is pierced horizontally at the top for suspension.; ,,1st Dynasty,,Found/Acquired: Egypt,calcite,pierced,0.97 centimetres;  2.87 centimetres; ,,"An identical example made of black limestone was found by Brunton in a grave at Matmar (see G. Brunton, ‘Matmar’ (London, 1948), pl. XXII, 72: Brunton's 'Protodynastic, S. D. 77-8').
Bibliography:
G. Brunton, 'British Museum expedition to Middle Egypt, 1929-1931 Matmar' (London, 1948), pl. XXII, 72 (Early First Dynasty);
C. Andrews, 'Amulets of Ancient Egypt' (London 1994), p.95.",Spencer 1980 / Early Dynastic Objects; Andrews 1981 / Catalogue of Egyptian Antiquities. Jewellery I,Not on display,,,Purchased from: R J Moss & Co,,1899,,,Egypt and Sudan,EA32123,"1899,1016.1136",
https://media.britishmuseum.org/media/Repository/Documents/2026_4/8_8/8741c506_1f05_47fe_8a37_b42600907248/preview_EA35531.jpg,figure (object name); amulet (object name),No: Optional[EA35531],A small carving of a hand and forearm: the hand being clenched with the thumb extended. Three wide bracelets are represented on the arm. At the upper end of the object there is a thin peg for attachment to a figure.; ,,1st Dynasty,,Excavated/Findspot: Tomb of Djer (?),bone (previously listed as ivory),carved,3.21 centimetres;  0.86 centimetres; ,,"Compare W. M. F. Petrie,  'Royal Tombs of the Earliest Dynasties' II, pl. XXXIV, 20; XXXVIII, 54; W. M. F. Petrie, 'Gizeh and Rifeh' (Warminster, 1977),pls. IV, upper right; V, 25.
Bibliography:
 W. M. F. Petrie,  'Royal Tombs of the Earliest Dynasties' II, pl. XXXIV, 19.",Spencer 1980 / Early Dynastic Objects,Not on display,,,Donated by: Egypt Exploration Fund,Excavated by: Egypt Exploration Fund,1901,,,Egypt and Sudan,EA35531,"1901,1012.31",
,amulet (object name); bead (object name),No: Optional[EA58542],"Amuletic string composed of two black steatite (?) vase-shaped amulets pierced through the widest part of the body, and six brown and white agate pebbles, used as beads. The latter are mostly horizontally striped and of irregular shape; two, however, are claw-shaped and two others drop-shaped.; ",,1st Dynasty,,Found/Acquired: Abydos,steatite (?); agate,pierced,1.20 centimetres amulets ;  2.80 centimetres largest pebble ; ,,"Bibliography:
H. Frankfort in 'Journal of Egyptian Archaeology' 16 (London, 1930), 215; pl. XXXI, 2.
The only comparable examples range in date from the Late Predynastic Period (G. Möller & A. Scharff, ‘Die archaeologischen Ergebnisse des Vorgeschichtlichen Gräberfeldes von Abusir el-Meleq’ (Osnabrück, 1969), pl.36. no. 388: from grave 60 k 6) to the Early Old Kingdom (G. Brunton, ‘Matmar’ (London, 1948), pl.XXII, 77: from grave 2304, Third to Fourth Dynasties). However, the probable Early Dynastic date of the vase-amulets and the occurrence of similar pebbles during the Early Dynastic Period (C. M. Firth, ‘Archaeological Survey of Nubia, 1908-9’ (Cairo, 1912),11, pl.37a, nos. 8-9) have suggested the date of the First Dynasty.",Andrews 1981 / Catalogue of Egyptian Antiquities. Jewellery I,Not on display,,,Donated by: Egypt Exploration Society,,1926,,,Egypt and Sudan,EA58542,"1926,0728.47",
https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_20/8ef47399_9748_4702_87c9_a3b901577b04/00226754_001.jpg,arrow-head (object name),No: Optional[EA35534],Arrowhead of circular section: tapering at one end to the point and at the other to a short circular tang for fixing to the shaft.; ,,1st Dynasty,,Excavated/Findspot: Tomb of Djer,bone (previously listed as ivory),carved,0.60 centimetres max ;  7.60 centimetres; ,,"For similar objects, see W. M. F. Petrie,  'Royal Tombs of the Earliest Dynasties' II, pls.VIIA, 7; XXXII, 37: XXXVII, 15-17; XXXVIII. 5-7; XL, 12-13; XLI, 38-41; XLII, 67; XLIII, 5-8; xlw, 4-6; W. M. F. Petrie, 'Tombs of the courtiers and Oxyrhynkos' (London, 1925), pl. II, 7; W. M. F. Petrie, 'Tarkhan I and Memphis V' (London, 1913), pl.IX, 14-18; T. E. Peet in E. Naville (ed.), ‘The cemeteries of Abydos’ II (London, 1913), 33-4 and pl.X, 3; . J. E. Quibell, ‘Archaic Objects’ (Cairo, 1905), pl.XI, 6; W. B. Emery, ‘Excavations at Saqqara : the tomb of Hemaka' (Cairo, 1938), 46, type 5 and pl.21; W. B. Emery, 'Great tombs of the First Dynasty; excavations at Sakkara' I' (Cairo, 1949), 103, cat. no. 54; W. B. Emery, 'Great tombs of the First Dynasty; excavations at Sakkara' II' (London, 1954), 63-4 and pl.XXVII, 69-71; E. Amélineau, ‘Les Nouvelles Fouilles d’Abydos’ I, (1895-6), pl.XLI; ibid., vol. III (1897-8), pl.III; A. Scharff, ‘Die Altertümer der Vor – und Frühzeit Ägyptens’ I (Berlin, 1929-31), nos. 199-209 and pl.9; W. Wolf, 'Die bewaffnung des altägyptischen Heeres' (Leipzig, 1926) , 17-18 and pl.9, (9-13).

Bibliography:
W. M. F. Petrie,  'Royal Tombs of the Earliest Dynasties' II, 35, pl.XXXIV, 27-49 (examples).",Spencer 1980 / Early Dynastic Objects,Not on display,,,Donated by: Egypt Exploration Fund,Excavated by: Sir William Matthew Flinders Petrie;  Excavated by: Egypt Exploration Fund,1901,,,Egypt and Sudan,EA35534,"1901,1012.34",
https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_21/ca5c2390_e60a_4979_8f5b_a3b9015ae69e/00227601_001.jpg,arrow-head (object name),No: Optional[EA68885],Roughly cut bone arrowhead: broken at the tip and the butt. Oval in section.; ,,1st Dynasty,,Excavated/Findspot: Tarkhan,bone,carved,6.20 centimetres;  1.00 centimetres max ; ,,,Spencer 1980 / Early Dynastic Objects,Not on display,,,"Donated by: British School of Archaeology, Egypt",,1912,,,Egypt and Sudan,EA68885,"1912,1019.12",
https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_20/c0e13df4_ffb4_460e_8273_a3b9015795e4/00226769_001.jpg,arrow-head (object name),No: Optional[EA35545],"Arrowhead: of oval section, with both the point and the tang broken.; ",,1st Dynasty,,Excavated/Findspot: Tomb of Djer,elephant ivory,carved,3.80 centimetres;  0.70 centimetres max ; ,,"For similar objects, see W. M. F. Petrie,  'Royal Tombs of the Earliest Dynasties' II, pls.VIIA, 7; XXXII, 37: XXXVII, 15-17; XXXVIII. 5-7; XL, 12-13; XLI, 38-41; XLII, 67; XLIII, 5-8; xlw, 4-6; W. M. F. Petrie, 'Tombs of the courtiers and Oxyrhynkos' (London, 1925), pl. II, 7; W. M. F. Petrie, 'Tarkhan I and Memphis V' (London, 1913), pl.IX, 14-18; T. E. Peet in E. Naville (ed.), ‘The cemeteries of Abydos’ II (London, 1913), 33-4 and pl.X, 3; . J. E. Quibell, ‘Archaic Objects’ (Cairo, 1905), pl.XI, 6; W. B. Emery, ‘Excavations at Saqqara : the tomb of Hemaka' (Cairo, 1938), 46, type 5 and pl.21; W. B. Emery, 'Great tombs of the First Dynasty; excavations at Sakkara' I' (Cairo, 1949), 103, cat. no. 54; W. B. Emery, 'Great tombs of the First Dynasty; excavations at Sakkara' II' (London, 1954), 63-4 and pl.XXVII, 69-71; E. Amélineau, ‘Les Nouvelles Fouilles d’Abydos’ I, (1895-6), pl.XLI; ibid., vol. III (1897-8), pl.III; A. Scharff, ‘Die Altertümer der Vor – und Frühzeit Ägyptens’ I (Berlin, 1929-31), nos. 199-209 and pl.9; W. Wolf, 'Die bewaffnung des altägyptischen Heeres' (Leipzig, 1926) , 17-18 and pl.9, (9-13).
Bibliography:
W. M. F. Petrie,  'Royal Tombs of the Earliest Dynasties' II, 35, pl.XXXIV, 27-49 (examples).",Spencer 1980 / Early Dynastic Objects,Not on display,,,Donated by: Egypt Exploration Fund,Excavated by: Sir William Matthew Flinders Petrie;  Excavated by: Egypt Exploration Fund,1901,,,Egypt and Sudan,EA35545,"1901,1012.41",
https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_21/10fca2a8_aed2_44e0_b354_a3b9015b3f2c/00227590_001.jpg,arrow-head (object name),No: Optional[EA68883],"Roughly cut arrowhead of oval section, broken slightly at both the tip and the butt.; ",,1st Dynasty,,Excavated/Findspot: Tarkhan,bone,carved,9.80 centimetres;  0.90 centimetres max ; ,,,Spencer 1980 / Early Dynastic Objects,Not on display,,,"Donated by: British School of Archaeology, Egypt",,1912,,,Egypt and Sudan,EA68883,"1912,1019.10",
https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_21/12c2ae1a_bd7b_4ea3_8adb_a3b9015ae285/00227598_001.jpg,arrow-head (object name),No: Optional[EA68884],Roughly cut bone arrowhead. The point is preserved. Bone slightly decayed and butt end chipped.; ,,1st Dynasty,,Excavated/Findspot: Tarkhan,bone,carved,7.30 centimetres;  0.80 centimetres max ; ,,,Spencer 1980 / Early Dynastic Objects,Not on display,,,"Donated by: British School of Archaeology, Egypt",,1912,,,Egypt and Sudan,EA68884,"1912,1019.11",
