CIDOC_Class,Louvre_Raw_String,Target_Vocabulary (THOT/AAT/WD),URI_Link
E39_Actor,Adams,,
E39_Actor,Aha,,
E39_Actor,Alec Rea,,
E39_Actor,Andrews,,
E39_Actor,Anedjib,,
E39_Actor,Antoine,,
E39_Actor,"British Museum, Department of Egypt and Sudan",,
E39_Actor,"British School of Archaeology, Egypt",,
E39_Actor,Capt Edward G Spencer-Churchill,,
E39_Actor,Catherine Marchionne,,
E39_Actor,Charles Ede Ltd,,
E39_Actor,Christie's,,
E39_Actor,Cyril Aldred,,
E39_Actor,Davies,,
E39_Actor,Dawson,,
E39_Actor,Den,,
E39_Actor,Denis P Kyticas,,
E39_Actor,Djer,,
E39_Actor,Djet,,
E39_Actor,Dr A E Walker,,
E39_Actor,Dr Felix Azpilicueta,,
E39_Actor,Dr Harry Reginald Holland Hall,,
E39_Actor,Dr Walter Leo Hildburgh,,
E39_Actor,Edward Louis Gruning,,
E39_Actor,Egypt Exploration Fund,,
E39_Actor,Egypt Exploration Society,,
E39_Actor,Egyptian Research Account,,
E39_Actor,F G Hilton Price,,
E39_Actor,Fletcher,,
E39_Actor,Friedman,,
E39_Actor,"George Herbert, 5th Earl of Carnarvon",,
E39_Actor,Giovanni Anastasi,,
E39_Actor,Giza Museum,,
E39_Actor,Gray,,
E39_Actor,Guy Brunton,,
E39_Actor,H L Hansard,,
E39_Actor,Hall,,
E39_Actor,Hef,,
E39_Actor,Hemaka,,
E39_Actor,Henri Édouard Naville,,
E39_Actor,Henry Salt,,
E39_Actor,Hill,,
E39_Actor,Horus,,
E39_Actor,Joseph Sams,,
E39_Actor,Ka,,
E39_Actor,MacGregor,,
E39_Actor,Maurice Nahman,,
E39_Actor,Merneit,,
E39_Actor,Miss Selima Harris,,
E39_Actor,Mohammed Mohassib,,
E39_Actor,Mrs Alec Rea,,
E39_Actor,Mrs Marion Whiteford Acworth JP,,
E39_Actor,Mrs Mary E Walker,,
E39_Actor,Mustriki Singis,,
E39_Actor,Narmer,,
E39_Actor,Nefer,,
E39_Actor,Neithotep,,
E39_Actor,Neumark,,
E39_Actor,Parkinson,,
E39_Actor,Peet,,
