CIDOC_Class,BM_string_real,uri_target_string,URI_Link
E39_Actor,Adams,,http://www.wikidata.org/entity/Q442750
E39_Actor,Aha,,http://archives.arce.org/louvre-egy/actor/aha
E39_Actor,Alec Rea,,http://www.wikidata.org/entity/Q76310524
E39_Actor,Andrews,Carol Andrews,
E39_Actor,Anedjib,,http://www.wikidata.org/entity/Q111079
E39_Actor,Antoine,Daniel Antoine,
E39_Actor,"British Museum, Department of Egypt and Sudan",,http://www.wikidata.org/entity/Q28162699
E39_Actor,"British School of Archaeology, Egypt",,http://www.wikidata.org/entity/Q4026720
E39_Actor,Capt Edward G Spencer-Churchill,,http://www.wikidata.org/entity/Q75385976
E39_Actor,Catherine Marchionne,,
E39_Actor,Charles Ede Ltd,,http://www.wikidata.org/entity/Q5077226
E39_Actor,Christie's,,http://www.wikidata.org/entity/Q503176
E39_Actor,Cyril Aldred,,http://vocab.getty.edu/page/Q1148549
E39_Actor,Davies,,https://archives.arce.org/louvre-egy/actor/w-vivian-davies
E39_Actor,Dawson,,http://vocab.getty.edu/page/Q7970459
E39_Actor,Den,,http://thot.philo.ulg.ac.be/concept/thot-149
E39_Actor,Denis P Kyticas,,https://www.britishmuseum.org/collection/term/BIOG54286
E39_Actor,Djer,,http://thot.philo.ulg.ac.be/concept/thot-147
E39_Actor,Djet,,http://www.wikidata.org/entity/Q151828
E39_Actor,Dr A E Walker,,http://vocab.getty.edu/page/Q2418031
E39_Actor,Dr Felix Azpilicueta,,http://vocab.getty.edu/page/Q84729084
E39_Actor,Dr Harry Reginald Holland Hall,,http://vocab.getty.edu/page/Q2028056
E39_Actor,Dr Walter Leo Hildburgh,,http://vocab.getty.edu/page/Q18910975
E39_Actor,Edward Louis Gruning,,http://vocab.getty.edu/page/Q21556045
E39_Actor,Egypt Exploration Fund,,https://archives.arce.org/louvre-egy/actor/egypt-exploration-fund
E39_Actor,Egypt Exploration Society,,http://vocab.getty.edu/page/Q1299166
E39_Actor,Egyptian Research Account,,http://vocab.getty.edu/page/Q193196
E39_Actor,F G Hilton Price,,http://vocab.getty.edu/page/Q18877376
E39_Actor,Fletcher,Alexandra Fletcher,
E39_Actor,Friedman,Florence Dunn Friedman,
E39_Actor,"George Herbert, 5th Earl of Carnarvon",,http://vocab.getty.edu/page/Q158765
E39_Actor,Giovanni Anastasi,,http://vocab.getty.edu/page/Q5563656
E39_Actor,Giza Museum,,http://www.wikidata.org/entity/Q2399429
E39_Actor,Gray,P.H.K Gray,
E39_Actor,Guy Brunton,,http://vocab.getty.edu/page/Q5622122
E39_Actor,H L Hansard,,http://vocab.getty.edu/page/Q75622390
E39_Actor,Hall,,http://vocab.getty.edu/page/Q2028056
E39_Actor,Hef,,http://vocab.getty.edu/page/Q7350423
E39_Actor,Hemaka,,https://archives.arce.org/louvre-egy/actor/hemaka-chancelier-royal
E39_Actor,Henri Édouard Naville,,http://vocab.getty.edu/page/Q115746
E39_Actor,Henry Salt,,http://vocab.getty.edu/page/Q733780
E39_Actor,Hill,,http://vocab.getty.edu/page/Q47091452
E39_Actor,Horus,,http://www.wikidata.org/entity/Q84122
E39_Actor,Joseph Sams,,http://vocab.getty.edu/page/Q18810990
E39_Actor,Ka,,http://vocab.getty.edu/page/Q312730
E39_Actor,MacGregor,,http://vocab.getty.edu/page/Q2579853
E39_Actor,Maurice Nahman,,http://vocab.getty.edu/page/Q126287625
E39_Actor,Merneit,,https://archives.arce.org/louvre-egy/actor/merytneith
E39_Actor,Miss Selima Harris,Selima Harris,
E39_Actor,Mohammed Mohassib,,http://vocab.getty.edu/page/Q74810774
E39_Actor,Mrs Alec Rea,Mrs. Alec Rea,
E39_Actor,Mrs Marion Whiteford Acworth JP,,
