CIDOC_Class,Louvre_Raw_String,Target_Vocabulary (THOT/AAT/WD),URI_Link
E39_Actor,Adeline Bats,,http://viaf.org/viaf/87158124946814930336
E39_Actor,Akira Hori,,http://www.wikidata.org/entity/Q102426234
E39_Actor,Alberto Siliotti,,http://www.wikidata.org/entity/Q2681137
E39_Actor,"Amélineau, Émile Clément",,http://www.wikidata.org/entity/Q274885
E39_Actor,Andrae Walter,,http://www.wikidata.org/entity/Q67392
E39_Actor,André Vigneau,,http://www.wikidata.org/entity/Q2848780
E39_Actor,Anedjib,,http://www.wikidata.org/entity/Q111079
E39_Actor,Anne Monier Vanryb,,http://www.wikidata.org/entity/Q133310275
E39_Actor,Anne Sefrioui,,http://www.wikidata.org/entity/Q73131347
E39_Actor,Annie Caubet,,http://www.wikidata.org/entity/Q37728883
E39_Actor,Annie Gasse,,http://www.wikidata.org/entity/Q113760806
E39_Actor,Ariane Thomas,,http://www.wikidata.org/entity/Q112043327
E39_Actor,Basma Koura,,http://viaf.org/viaf/15622923
E39_Actor,Benerib (?),,http://www.wikidata.org/entity/Q181597
E39_Actor,Bernadette Letellier,,http://viaf.org/viaf/217301867
E39_Actor,Bernard Mathieu,,http://www.wikidata.org/entity/Q2898304
E39_Actor,Bertha Porter,,http://www.wikidata.org/entity/Q16744842
E39_Actor,Béatrice André-Leicknam,,http://viaf.org/viaf/249681991
E39_Actor,Béatrix Midant-Reynes,,http://www.wikidata.org/entity/Q2929517
E39_Actor,Bérénice Geoffroy-Schneiter,,http://www.wikidata.org/entity/Q113762980
E39_Actor,Charles Boreux,,http://www.wikidata.org/entity/Q55623117
E39_Actor,Christian Landes,,http://www.wikidata.org/entity/Q60064688
E39_Actor,Christiane Desroches-Noblecourt,,http://www.wikidata.org/entity/Q270319
E39_Actor,Christiane Ziegler,,http://www.wikidata.org/entity/Q2061302
E39_Actor,Christina Karlshausen,,http://viaf.org/viaf/66619009
E39_Actor,Christophe Barbotin,,http://www.wikidata.org/entity/Q112408084
E39_Actor,Claude Vandersleyen,,http://www.wikidata.org/entity/Q2978226
E39_Actor,Daniel Soulié,,http://www.wikidata.org/entity/Q112475908
E39_Actor,Danielle Gaborit-Chopin,,http://www.wikidata.org/entity/Q3014992
E39_Actor,Den,,http://www.wikidata.org/entity/Q151822
E39_Actor,Diana Craig Patch,,http://www.wikidata.org/entity/Q125476379
E39_Actor,Djet,,http://www.wikidata.org/entity/Q151828
E39_Actor,Dominique Farout,,http://www.wikidata.org/entity/Q138424920
E39_Actor,Elke Roik,,http://viaf.org/viaf/12984287
E39_Actor,Emile Amélineau,,http://www.wikidata.org/entity/Q274885
E39_Actor,Emmanuel Sougez,,http://www.wikidata.org/entity/Q1338406
E39_Actor,Etienne Drioton,,http://www.wikidata.org/entity/Q1041754
E39_Actor,Francesco Tiradritti,,http://www.wikidata.org/entity/Q73266184
E39_Actor,Frédéric Servajean,,http://www.wikidata.org/entity/Q3090206
E39_Actor,Gabrielle Charrak,,http://viaf.org/viaf/2174693177026740008
E39_Actor,Gay Robins,,http://www.wikidata.org/entity/Q28921800
E39_Actor,Geneviève Bresc-Bautier,,http://www.wikidata.org/entity/Q3100605
E39_Actor,Geneviève Galliano,,http://www.wikidata.org/entity/Q113783540
E39_Actor,Geneviève Pierrat-Bonnefois,,http://www.wikidata.org/entity/Q111956810
E39_Actor,George Hart,,http://www.wikidata.org/entity/Q106310764
E39_Actor,Georges Bénédite,,http://www.wikidata.org/entity/Q1508830
E39_Actor,Georges Posener,,http://www.wikidata.org/entity/Q879125
E39_Actor,Guillaume Grandjean,,http://viaf.org/viaf/82160243009952432756
E39_Actor,Guillemette Andreu,,http://www.wikidata.org/entity/Q3120521
E39_Actor,Günter Dreyer,,http://www.wikidata.org/entity/Q74546
E39_Actor,Hans Wolfgang Müller,,http://www.wikidata.org/entity/Q15449541
E39_Actor,Hedwig Fechheimer,,http://www.wikidata.org/entity/Q19766250
E39_Actor,Heinrich Balcz,,http://www.wikidata.org/entity/Q20752057
