Group,CIDOC_Class,Louvre_Raw_String,BM_Raw_String,Local_URI_Name,URI_Link,Match,Review
1,E39_Actor,,Adams,Adams,http://www.wikidata.org/entity/Q442750,bm only,
2,E39_Actor,Adeline Bats,,Adeline Bats,http://viaf.org/viaf/87158124946814930336,louvre only,
3,E39_Actor,Agnès Durand,,Agnès Durand,http://viaf.org/viaf/130601,louvre only,
4,E39_Actor,Akira Hori,,Akira Hori,http://www.wikidata.org/entity/Q102426234,louvre only,
5,E39_Actor,Alberto Siliotti,,Alberto Siliotti,http://www.wikidata.org/entity/Q2681137,louvre only,
6,E39_Actor,,Alec Rea,Alec Rea,http://www.wikidata.org/entity/Q76310524,bm only,
7,E39_Actor,Ali Radwan,,Ali Radwan,http://www.wikidata.org/entity/Q2836283,louvre only,
9,E39_Actor,"Amélineau, Jacques",,"Amélineau, Jacques",,louvre only,
10,E39_Actor,"Amélineau, Émile Clément",,"Amélineau, Émile Clément",http://www.wikidata.org/entity/Q274885,louvre only,several actor labels merged - confirm same person
10,E39_Actor,Emile Amélineau,,"Amélineau, Émile Clément",http://www.wikidata.org/entity/Q274885,louvre only,several actor labels merged - confirm same person
11,E39_Actor,Andrae Walter,,Andrae Walter,http://www.wikidata.org/entity/Q67392,louvre only,
12,E39_Actor,,Andrews,Carol Andrews,,bm only,
13,E39_Actor,André Vigneau,,André Vigneau,http://www.wikidata.org/entity/Q2848780,louvre only,
14,E39_Actor,Anedjib,Anedjib,Anedjib,http://www.wikidata.org/entity/Q111079,both datasets,
15,E39_Actor,Annabelle Ténèze,,Annabelle Ténèze,http://www.wikidata.org/entity/Q42304973,louvre only,
16,E39_Actor,Anne Monier Vanryb,,Anne Monier Vanryb,http://www.wikidata.org/entity/Q133310275,louvre only,
17,E39_Actor,Anne Sefrioui,,Anne Sefrioui,http://www.wikidata.org/entity/Q73131347,louvre only,
18,E39_Actor,Annie Caubet,,Annie Caubet,http://www.wikidata.org/entity/Q37728883,louvre only,
19,E39_Actor,Annie Gasse,,Annie Gasse,http://www.wikidata.org/entity/Q113760806,louvre only,
20,E39_Actor,,Antoine,Daniel Antoine,,bm only,
21,E39_Actor,Ariane Thomas,,Ariane Thomas,http://www.wikidata.org/entity/Q112043327,louvre only,
22,E39_Actor,Basma Koura,,Basma Koura,http://viaf.org/viaf/15622923,louvre only,
23,E39_Actor,Bastien Ségalas,,Bastien Ségalas,,louvre only,
24,E39_Actor,Benerib (?),,Benerib (?),http://www.wikidata.org/entity/Q181597,louvre only,several actor labels merged - confirm same person
24,E39_Actor,Imaib (?),,Benerib (?),http://www.wikidata.org/entity/Q181597,louvre only,several actor labels merged - confirm same person
25,E39_Actor,Bernadette Letellier,,Bernadette Letellier,http://viaf.org/viaf/217301867,louvre only,
26,E39_Actor,Bernard Mathieu,,Bernard Mathieu,http://www.wikidata.org/entity/Q2898304,louvre only,
27,E39_Actor,Bertha Porter,,Bertha Porter,http://www.wikidata.org/entity/Q16744842,louvre only,
28,E39_Actor,Brigitte Goede,,Brigitte Goede,http://viaf.org/viaf/54854995,louvre only,
29,E39_Actor,,"British Museum, Department of Egypt and Sudan","British Museum, Department of Egypt and Sudan",http://www.wikidata.org/entity/Q28162699,bm only,
30,E39_Actor,,"British School of Archaeology, Egypt","British School of Archaeology, Egypt",http://www.wikidata.org/entity/Q4026720,bm only,
31,E39_Actor,Béatrice André-Leicknam,,Béatrice André-Leicknam,http://viaf.org/viaf/249681991,louvre only,
32,E39_Actor,Béatrix Midant-Reynes,,Béatrix Midant-Reynes,http://www.wikidata.org/entity/Q2929517,louvre only,
33,E39_Actor,Bérénice Geoffroy-Schneiter,,Bérénice Geoffroy-Schneiter,http://www.wikidata.org/entity/Q113762980,louvre only,
34,E39_Actor,,Capt Edward G Spencer-Churchill,Capt Edward G Spencer-Churchill,http://www.wikidata.org/entity/Q75385976,bm only,
35,E39_Actor,"Carr, Seton",,"Carr, Seton",,louvre only,
36,E39_Actor,,Catherine Marchionne,Catherine Marchionne,,bm only,
37,E39_Actor,Charles Boreux,,Charles Boreux,http://www.wikidata.org/entity/Q55623117,louvre only,
38,E39_Actor,,Charles Ede Ltd,Charles Ede Ltd,http://www.wikidata.org/entity/Q5077226,bm only,
39,E39_Actor,Christian Landes,,Christian Landes,http://www.wikidata.org/entity/Q60064688,louvre only,
40,E39_Actor,Christiane Desroches-Noblecourt,,Christiane Desroches-Noblecourt,http://www.wikidata.org/entity/Q270319,louvre only,
41,E39_Actor,Christiane Ziegler,,Christiane Ziegler,http://www.wikidata.org/entity/Q2061302,louvre only,
42,E39_Actor,,Christie's,Christie's,http://www.wikidata.org/entity/Q503176,bm only,
43,E39_Actor,Christina Karlshausen,,Christina Karlshausen,http://viaf.org/viaf/66619009,louvre only,
44,E39_Actor,Christophe Barbotin,,Christophe Barbotin,http://www.wikidata.org/entity/Q112408084,louvre only,
45,E39_Actor,Claude Vandersleyen,,Claude Vandersleyen,http://www.wikidata.org/entity/Q2978226,louvre only,
46,E39_Actor,,Cyril Aldred,Cyril Aldred,http://www.wikidata.org/entity/Q1148549,bm only,
47,E39_Actor,Daniel Soulié,,Daniel Soulié,http://www.wikidata.org/entity/Q112475908,louvre only,
48,E39_Actor,Danielle Gaborit-Chopin,,Danielle Gaborit-Chopin,http://www.wikidata.org/entity/Q3014992,louvre only,
49,E39_Actor,,Dawson,Dawson,http://www.wikidata.org/entity/Q7970459,bm only,
50,E39_Actor,Den,Den,Den,http://www.wikidata.org/entity/Q151822,both datasets,
51,E39_Actor,,Denis P Kyticas,Denis P Kyticas,https://www.britishmuseum.org/collection/term/BIOG54286,bm only,
52,E39_Actor,Diana Craig Patch,,Diana Craig Patch,http://www.wikidata.org/entity/Q125476379,louvre only,
53,E39_Actor,Djer,Djer,Djer,http://www.wikidata.org/entity/Q152375,both datasets,
54,E39_Actor,Djet,Djet,Djet,http://www.wikidata.org/entity/Q151828,both datasets,
55,E39_Actor,Dominique Farout,,Dominique Farout,http://www.wikidata.org/entity/Q138424920,louvre only,
56,E39_Actor,,Dr A E Walker,A E Walker,,bm only,several actor labels merged - confirm same person
56,E39_Actor,,Mrs Mary E Walker,Mrs Mary E Walker,http://www.wikidata.org/entity/Q2418031,bm only,several actor labels merged - confirm same person
57,E39_Actor,,Dr Felix Azpilicueta,Dr Felix Azpilicueta,http://www.wikidata.org/entity/Q84729084,bm only,
58,E39_Actor,,Dr Harry Reginald Holland Hall,Dr Harry Reginald Holland Hall,http://www.wikidata.org/entity/Q2028056,bm only,several actor labels merged - confirm same person
